Order ID,Customer ID,Platform,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,OrderDate
ORD001256,CUST2816,JioMart,39,Dairy,676,Excellent experience!,5,No,No,6/10/2019
ORD001257,CUST5640,JioMart,25,Dairy,643,"Horrible experience, never ordering again.",1,No,Yes,6/11/2019
ORD001258,CUST8972,Swiggy Instamart,42,Grocery,505,Excellent experience!,5,Yes,No,6/12/2019
ORD001259,CUST9633,Swiggy Instamart,23,Beverages,462,"Fast delivery, great service!",5,No,No,6/13/2019
ORD001260,CUST6053,Swiggy Instamart,44,Grocery,1019,"Fast delivery, great service!",5,Yes,No,6/14/2019
ORD001261,CUST1744,Blinkit,27,Dairy,796,Delivery person was rude.,2,No,Yes,6/15/2019
ORD001262,CUST4612,Blinkit,36,Dairy,377,Wrong item delivered.,1,No,Yes,6/16/2019
ORD001263,CUST7475,JioMart,52,Snacks,447,"Horrible experience, never ordering again.",1,Yes,Yes,6/17/2019
ORD001264,CUST1897,Blinkit,54,Snacks,117,Very satisfied with the service.,5,Yes,No,6/18/2019
ORD001265,CUST1125,Blinkit,16,Beverages,161,Delivery person was rude.,2,No,Yes,6/19/2019
ORD001266,CUST4349,Blinkit,40,Personal Care,1960,Quick and reliable!,5,No,No,6/20/2019
ORD001267,CUST5938,Swiggy Instamart,20,Dairy,778,Excellent experience!,5,No,No,6/21/2019
ORD001268,CUST4460,Swiggy Instamart,33,Dairy,510,"Not fresh, disappointed.",2,No,Yes,6/22/2019
ORD001269,CUST3248,JioMart,34,Personal Care,212,Good quality products.,4,No,No,6/23/2019
ORD001270,CUST5186,Blinkit,38,Personal Care,563,Packaging could be better.,3,No,No,6/24/2019
ORD001271,CUST5742,Blinkit,17,Beverages,887,Quick and reliable!,5,No,No,6/25/2019
ORD001272,CUST6375,JioMart,18,Snacks,493,Packaging could be better.,3,No,No,6/26/2019
ORD001273,CUST2965,Blinkit,21,Snacks,301,"Not fresh, disappointed.",2,No,Yes,6/27/2019
ORD001274,CUST1126,Blinkit,35,Fruits & Vegetables,69,"Fast delivery, great service!",5,No,No,6/28/2019
ORD001275,CUST9149,Swiggy Instamart,32,Personal Care,151,Excellent experience!,5,No,No,6/29/2019
ORD001276,CUST8055,JioMart,34,Dairy,165,"Easy to order, loved it!",5,No,No,6/30/2019
ORD001277,CUST3878,JioMart,18,Fruits & Vegetables,441,"Fast delivery, great service!",5,No,No,7/1/2019
ORD001278,CUST3116,JioMart,31,Beverages,656,Quick and reliable!,5,No,No,7/2/2019
ORD001279,CUST7229,JioMart,23,Personal Care,558,Quick and reliable!,5,No,No,7/3/2019
ORD001280,CUST9725,Swiggy Instamart,23,Beverages,265,"Horrible experience, never ordering again.",1,No,Yes,7/4/2019
ORD001281,CUST4770,Swiggy Instamart,28,Personal Care,790,"Horrible experience, never ordering again.",1,No,Yes,7/5/2019
ORD001282,CUST9196,Blinkit,14,Snacks,342,"Very late delivery, not happy.",2,No,Yes,7/6/2019
ORD001283,CUST6802,Blinkit,35,Grocery,971,Good quality products.,4,No,No,7/7/2019
ORD001284,CUST2180,Blinkit,15,Fruits & Vegetables,468,Delivery person was rude.,2,No,Yes,7/8/2019
ORD001285,CUST7505,Blinkit,25,Snacks,104,Wrong item delivered.,1,No,Yes,7/9/2019
ORD001286,CUST1693,Swiggy Instamart,37,Fruits & Vegetables,210,"Fast delivery, great service!",5,No,No,7/10/2019
ORD001287,CUST8147,JioMart,14,Grocery,1013,"Horrible experience, never ordering again.",1,No,Yes,7/11/2019
ORD001288,CUST1307,Swiggy Instamart,15,Grocery,757,Wrong item delivered.,1,No,Yes,7/12/2019
ORD001289,CUST8532,Blinkit,40,Dairy,130,Packaging could be better.,3,No,No,7/13/2019
ORD001290,CUST2275,Swiggy Instamart,19,Beverages,204,Excellent experience!,5,No,No,7/14/2019
ORD001291,CUST6129,JioMart,39,Personal Care,135,Items missing from order.,2,No,Yes,7/15/2019
ORD001292,CUST8033,JioMart,34,Beverages,722,Delivery person was rude.,2,No,Yes,7/16/2019
ORD001293,CUST7626,Swiggy Instamart,16,Beverages,924,"Easy to order, loved it!",5,No,No,7/17/2019
ORD001294,CUST7843,Swiggy Instamart,31,Snacks,148,Delivery person was rude.,2,No,Yes,7/18/2019
ORD001295,CUST5743,Swiggy Instamart,34,Personal Care,1686,Items missing from order.,2,No,Yes,7/19/2019
ORD001296,CUST2887,Blinkit,16,Grocery,1326,Excellent experience!,5,No,No,7/20/2019
ORD001297,CUST7636,Swiggy Instamart,30,Personal Care,1586,"Very late delivery, not happy.",2,No,Yes,7/21/2019
ORD001298,CUST1341,Swiggy Instamart,38,Grocery,1154,"Easy to order, loved it!",5,No,No,7/22/2019
ORD001299,CUST6321,Swiggy Instamart,29,Snacks,239,Excellent experience!,5,No,No,7/23/2019
ORD001300,CUST3815,JioMart,31,Beverages,434,Wrong item delivered.,1,No,Yes,7/24/2019
ORD001301,CUST8538,JioMart,28,Personal Care,203,Quick and reliable!,5,No,No,7/25/2019
ORD001302,CUST6928,Blinkit,40,Grocery,1234,Items missing from order.,2,No,Yes,7/26/2019
ORD001303,CUST2443,Blinkit,29,Fruits & Vegetables,305,Packaging could be better.,3,No,No,7/27/2019
ORD001304,CUST8155,JioMart,23,Dairy,197,Items missing from order.,2,No,Yes,7/28/2019
ORD001305,CUST2734,JioMart,27,Snacks,183,"Very late delivery, not happy.",2,No,Yes,7/29/2019
ORD001306,CUST4986,JioMart,14,Dairy,305,"Very late delivery, not happy.",2,No,Yes,7/30/2019
ORD001307,CUST8138,Swiggy Instamart,5,Beverages,515,Packaging could be better.,3,No,No,7/31/2019
ORD001308,CUST7560,Swiggy Instamart,21,Snacks,370,Delivery person was rude.,2,No,Yes,8/1/2019
ORD001309,CUST9584,JioMart,45,Fruits & Vegetables,211,Good quality products.,4,Yes,No,8/2/2019
ORD001310,CUST2288,Swiggy Instamart,40,Snacks,324,Quick and reliable!,5,No,No,8/3/2019
ORD001311,CUST7484,Swiggy Instamart,13,Dairy,151,Packaging could be better.,3,No,No,8/4/2019
ORD001312,CUST6083,Blinkit,19,Snacks,194,Excellent experience!,5,No,No,8/5/2019
ORD001313,CUST6562,JioMart,23,Fruits & Vegetables,320,"Horrible experience, never ordering again.",1,No,Yes,8/6/2019
ORD001314,CUST4630,JioMart,28,Grocery,1116,Quick and reliable!,5,No,No,8/7/2019
ORD001315,CUST6456,Swiggy Instamart,19,Beverages,788,"Fast delivery, great service!",5,No,No,8/8/2019
ORD001316,CUST3754,JioMart,23,Fruits & Vegetables,430,"Fast delivery, great service!",5,No,No,8/9/2019
ORD001317,CUST2251,Blinkit,40,Beverages,478,Quick and reliable!,5,No,No,8/10/2019
ORD001318,CUST9363,Blinkit,20,Beverages,177,Excellent experience!,5,No,No,8/11/2019
ORD001319,CUST2868,Blinkit,35,Fruits & Vegetables,476,Wrong item delivered.,1,No,Yes,8/12/2019
ORD001320,CUST9693,JioMart,37,Snacks,90,"Fast delivery, great service!",5,No,No,8/13/2019
ORD001321,CUST9355,JioMart,53,Snacks,168,Wrong item delivered.,1,Yes,Yes,8/14/2019
ORD001322,CUST4176,JioMart,23,Personal Care,1705,Good quality products.,4,No,No,8/15/2019
ORD001323,CUST6724,JioMart,18,Personal Care,1834,"Easy to order, loved it!",5,No,No,8/16/2019
ORD001324,CUST6752,JioMart,12,Fruits & Vegetables,259,Items missing from order.,2,No,Yes,8/17/2019
ORD001325,CUST3419,Blinkit,36,Dairy,289,Quick and reliable!,5,No,No,8/18/2019
ORD001326,CUST4871,Swiggy Instamart,34,Snacks,362,"Easy to order, loved it!",5,No,No,8/19/2019
ORD001327,CUST2684,Blinkit,28,Dairy,185,"Not fresh, disappointed.",2,No,Yes,8/20/2019
ORD001328,CUST3399,JioMart,33,Beverages,475,Very satisfied with the service.,5,No,No,8/21/2019
ORD001329,CUST5193,Blinkit,30,Fruits & Vegetables,475,"Horrible experience, never ordering again.",1,No,Yes,8/22/2019
ORD001330,CUST4232,JioMart,25,Beverages,149,Good quality products.,4,No,No,8/23/2019
ORD001331,CUST3842,JioMart,26,Personal Care,1092,Packaging could be better.,3,No,No,8/24/2019
ORD001332,CUST3504,Blinkit,29,Snacks,282,"Easy to order, loved it!",5,No,No,8/25/2019
ORD001333,CUST2234,JioMart,54,Personal Care,1321,"Horrible experience, never ordering again.",1,Yes,Yes,8/26/2019
ORD001334,CUST3902,Swiggy Instamart,39,Snacks,179,"Horrible experience, never ordering again.",1,No,Yes,8/27/2019
ORD001335,CUST9095,JioMart,18,Snacks,85,"Very late delivery, not happy.",2,No,Yes,8/28/2019
ORD001336,CUST8601,Swiggy Instamart,33,Beverages,551,Wrong item delivered.,1,No,Yes,8/29/2019
ORD001337,CUST8354,Swiggy Instamart,29,Beverages,482,"Not fresh, disappointed.",2,No,Yes,8/30/2019
ORD001338,CUST6295,JioMart,48,Snacks,352,"Fast delivery, great service!",5,Yes,No,8/31/2019
ORD001339,CUST6179,Blinkit,42,Fruits & Vegetables,248,Wrong item delivered.,1,Yes,Yes,9/1/2019
ORD001340,CUST3473,Swiggy Instamart,28,Snacks,125,"Easy to order, loved it!",5,No,No,9/2/2019
ORD001341,CUST8205,Blinkit,29,Grocery,1266,"Fast delivery, great service!",5,No,No,9/3/2019
ORD001342,CUST2118,Swiggy Instamart,18,Fruits & Vegetables,563,"Easy to order, loved it!",5,No,No,9/4/2019
ORD001343,CUST8682,JioMart,36,Snacks,454,"Horrible experience, never ordering again.",1,No,Yes,9/5/2019
ORD001344,CUST8245,JioMart,41,Grocery,946,"Horrible experience, never ordering again.",1,Yes,Yes,9/6/2019
ORD001345,CUST5961,Swiggy Instamart,31,Dairy,279,Quick and reliable!,5,No,No,9/7/2019
ORD001346,CUST5500,JioMart,32,Grocery,860,Good quality products.,4,No,No,9/8/2019
ORD001347,CUST1920,Swiggy Instamart,26,Personal Care,806,"Fast delivery, great service!",5,No,No,9/9/2019
ORD001348,CUST6766,JioMart,38,Fruits & Vegetables,123,Quick and reliable!,5,No,No,9/10/2019
ORD001349,CUST9312,Blinkit,16,Fruits & Vegetables,506,Delivery person was rude.,2,No,Yes,9/11/2019
ORD001350,CUST2215,JioMart,18,Grocery,977,"Very late delivery, not happy.",2,No,Yes,9/12/2019
ORD001351,CUST6085,Blinkit,39,Personal Care,734,"Horrible experience, never ordering again.",1,No,Yes,9/13/2019
ORD001352,CUST8565,JioMart,15,Dairy,212,Excellent experience!,5,No,No,9/14/2019
ORD001353,CUST8404,Blinkit,23,Grocery,1247,Items missing from order.,2,No,Yes,9/15/2019
ORD001354,CUST1616,JioMart,27,Dairy,288,"Horrible experience, never ordering again.",1,No,Yes,9/16/2019
ORD001355,CUST1932,Blinkit,34,Fruits & Vegetables,63,"Easy to order, loved it!",5,No,No,9/17/2019
ORD001356,CUST7041,Swiggy Instamart,31,Fruits & Vegetables,577,Quick and reliable!,5,No,No,9/18/2019
ORD001357,CUST5703,Swiggy Instamart,5,Beverages,132,Items missing from order.,2,No,Yes,9/19/2019
ORD001358,CUST2257,Blinkit,35,Dairy,494,"Very late delivery, not happy.",2,No,Yes,9/20/2019
ORD001359,CUST2479,JioMart,27,Grocery,701,"Easy to order, loved it!",5,No,No,9/21/2019
ORD001360,CUST9307,Blinkit,40,Dairy,256,Packaging could be better.,3,No,No,9/22/2019
ORD001361,CUST7299,JioMart,20,Grocery,1166,"Easy to order, loved it!",5,No,No,9/23/2019
ORD001362,CUST8581,Swiggy Instamart,45,Fruits & Vegetables,255,Items missing from order.,2,Yes,Yes,9/24/2019
ORD001363,CUST1672,JioMart,18,Fruits & Vegetables,605,Wrong item delivered.,1,No,Yes,9/25/2019
ORD001364,CUST8368,Swiggy Instamart,25,Personal Care,1171,Delivery person was rude.,2,No,Yes,9/26/2019
ORD001365,CUST4084,JioMart,42,Snacks,489,Excellent experience!,5,Yes,No,9/27/2019
ORD001366,CUST6267,JioMart,52,Fruits & Vegetables,444,"Not fresh, disappointed.",2,Yes,Yes,9/28/2019
ORD001367,CUST8792,JioMart,18,Fruits & Vegetables,627,"Easy to order, loved it!",5,No,No,9/29/2019
ORD001368,CUST9214,Blinkit,54,Fruits & Vegetables,120,Delivery person was rude.,2,Yes,Yes,9/30/2019
ORD001369,CUST3471,Blinkit,6,Grocery,936,Items missing from order.,2,No,Yes,10/1/2019
ORD001370,CUST2013,Swiggy Instamart,37,Grocery,820,Items missing from order.,2,No,Yes,10/2/2019
ORD001371,CUST8381,Swiggy Instamart,47,Snacks,443,"Not fresh, disappointed.",2,Yes,Yes,10/3/2019
ORD001372,CUST2695,Blinkit,19,Snacks,155,Wrong item delivered.,1,No,Yes,10/4/2019
ORD001373,CUST6626,Swiggy Instamart,42,Dairy,246,"Very late delivery, not happy.",2,Yes,Yes,10/5/2019
ORD001374,CUST2381,Blinkit,24,Dairy,474,Quick and reliable!,5,No,No,10/6/2019
ORD001375,CUST9266,JioMart,22,Dairy,127,Very satisfied with the service.,5,No,No,10/7/2019
ORD001376,CUST3827,Swiggy Instamart,16,Beverages,899,Packaging could be better.,3,No,No,10/8/2019
ORD001377,CUST1641,Swiggy Instamart,29,Dairy,193,Packaging could be better.,3,No,No,10/9/2019
ORD001378,CUST5059,Blinkit,31,Snacks,300,Packaging could be better.,3,No,No,10/10/2019
ORD001379,CUST8172,Swiggy Instamart,18,Beverages,116,"Not fresh, disappointed.",2,No,Yes,10/11/2019
ORD001380,CUST8199,Swiggy Instamart,44,Dairy,634,"Not fresh, disappointed.",2,Yes,Yes,10/12/2019
ORD001381,CUST9586,JioMart,23,Snacks,374,Quick and reliable!,5,No,No,10/13/2019
ORD001382,CUST9564,Swiggy Instamart,29,Snacks,449,Packaging could be better.,3,No,No,10/14/2019
ORD001383,CUST3600,JioMart,32,Snacks,479,Good quality products.,4,No,No,10/15/2019
ORD001384,CUST6962,Blinkit,59,Beverages,391,Very satisfied with the service.,5,Yes,No,10/16/2019
ORD001385,CUST7108,Swiggy Instamart,42,Fruits & Vegetables,128,Delivery person was rude.,2,Yes,Yes,10/17/2019
ORD001386,CUST5634,JioMart,38,Dairy,352,Wrong item delivered.,1,No,Yes,10/18/2019
ORD001387,CUST7347,Blinkit,25,Fruits & Vegetables,284,Good quality products.,4,No,No,10/19/2019
ORD001388,CUST7697,Swiggy Instamart,33,Personal Care,851,"Horrible experience, never ordering again.",1,No,Yes,10/20/2019
ORD001389,CUST6543,Blinkit,34,Personal Care,575,Delivery person was rude.,2,No,Yes,10/21/2019
ORD001390,CUST1857,Swiggy Instamart,29,Snacks,413,Very satisfied with the service.,5,No,No,10/22/2019
ORD001391,CUST6482,Blinkit,39,Grocery,1139,"Easy to order, loved it!",5,No,No,10/23/2019
ORD001392,CUST2079,Blinkit,61,Grocery,1107,Good quality products.,4,Yes,No,10/24/2019
ORD001393,CUST6401,JioMart,18,Beverages,614,"Not fresh, disappointed.",2,No,Yes,10/25/2019
ORD001394,CUST2548,Blinkit,34,Fruits & Vegetables,245,Quick and reliable!,5,No,No,10/26/2019
ORD001395,CUST7333,Swiggy Instamart,33,Fruits & Vegetables,651,Packaging could be better.,3,No,No,10/27/2019
ORD001396,CUST5655,Swiggy Instamart,27,Personal Care,439,Very satisfied with the service.,5,No,No,10/28/2019
ORD001397,CUST5128,JioMart,23,Personal Care,1063,Quick and reliable!,5,No,No,10/29/2019
ORD001398,CUST3463,Swiggy Instamart,22,Grocery,921,Quick and reliable!,5,No,No,10/30/2019
ORD001399,CUST6461,Swiggy Instamart,52,Grocery,987,Delivery person was rude.,2,Yes,Yes,10/31/2019
ORD001400,CUST2335,Swiggy Instamart,31,Fruits & Vegetables,671,Quick and reliable!,5,No,No,11/1/2019
ORD001401,CUST3317,Blinkit,40,Grocery,1296,"Horrible experience, never ordering again.",1,No,Yes,11/2/2019
ORD001402,CUST6731,Blinkit,27,Fruits & Vegetables,612,"Horrible experience, never ordering again.",1,No,Yes,11/3/2019
ORD001403,CUST6082,Swiggy Instamart,34,Personal Care,612,Packaging could be better.,3,No,No,11/4/2019
ORD001404,CUST7421,JioMart,35,Snacks,331,Items missing from order.,2,No,Yes,11/5/2019
ORD001405,CUST3112,Blinkit,27,Dairy,578,Very satisfied with the service.,5,No,No,11/6/2019
ORD001406,CUST2388,JioMart,32,Grocery,1296,Packaging could be better.,3,No,No,11/7/2019
ORD001407,CUST6072,Swiggy Instamart,42,Personal Care,1973,"Easy to order, loved it!",5,Yes,No,11/8/2019
ORD001408,CUST7171,Swiggy Instamart,18,Beverages,760,"Easy to order, loved it!",5,No,No,11/9/2019
ORD001409,CUST6381,Blinkit,32,Dairy,509,"Horrible experience, never ordering again.",1,No,Yes,11/10/2019
ORD001410,CUST3093,Swiggy Instamart,35,Dairy,144,Delivery person was rude.,2,No,Yes,11/11/2019
ORD001411,CUST9624,Blinkit,37,Dairy,269,Packaging could be better.,3,No,No,11/12/2019
ORD001412,CUST2531,Swiggy Instamart,39,Fruits & Vegetables,273,"Not fresh, disappointed.",2,No,Yes,11/13/2019
ORD001413,CUST7937,Swiggy Instamart,37,Beverages,890,Very satisfied with the service.,5,No,No,11/14/2019
ORD001414,CUST9331,Blinkit,41,Personal Care,1963,"Easy to order, loved it!",5,Yes,No,11/15/2019
ORD001415,CUST6928,Blinkit,25,Personal Care,1888,"Easy to order, loved it!",5,No,No,11/16/2019
ORD001416,CUST1298,Blinkit,44,Fruits & Vegetables,577,Excellent experience!,5,Yes,No,11/17/2019
ORD001417,CUST6940,Swiggy Instamart,31,Dairy,167,Wrong item delivered.,1,No,Yes,11/18/2019
ORD001418,CUST6060,Swiggy Instamart,38,Personal Care,534,"Very late delivery, not happy.",2,No,Yes,11/19/2019
ORD001419,CUST3953,JioMart,16,Beverages,129,Very satisfied with the service.,5,No,No,11/20/2019
ORD001420,CUST4509,Blinkit,36,Grocery,1161,"Not fresh, disappointed.",2,No,Yes,11/21/2019
ORD001421,CUST6598,Swiggy Instamart,31,Grocery,440,"Very late delivery, not happy.",2,No,Yes,11/22/2019
ORD001422,CUST8967,Swiggy Instamart,26,Beverages,912,"Fast delivery, great service!",5,No,No,11/23/2019
ORD001423,CUST4145,Blinkit,42,Fruits & Vegetables,367,Good quality products.,4,Yes,No,11/24/2019
ORD001424,CUST4711,JioMart,32,Beverages,976,Very satisfied with the service.,5,No,No,11/25/2019
ORD001425,CUST3253,Blinkit,32,Dairy,405,Items missing from order.,2,No,Yes,11/26/2019
ORD001426,CUST3538,JioMart,15,Fruits & Vegetables,423,"Fast delivery, great service!",5,No,No,11/27/2019
ORD001427,CUST2264,Swiggy Instamart,23,Fruits & Vegetables,578,"Very late delivery, not happy.",2,No,Yes,11/28/2019
ORD001428,CUST5846,JioMart,31,Grocery,1466,Delivery person was rude.,2,No,Yes,11/29/2019
ORD001429,CUST2657,Swiggy Instamart,23,Beverages,769,Packaging could be better.,3,No,No,11/30/2019
ORD001430,CUST9317,Blinkit,44,Beverages,864,Packaging could be better.,3,Yes,No,12/1/2019
ORD001431,CUST9843,Blinkit,27,Dairy,279,Wrong item delivered.,1,No,Yes,12/2/2019
ORD001432,CUST9626,Blinkit,20,Snacks,411,Excellent experience!,5,No,No,12/3/2019
ORD001433,CUST1618,JioMart,18,Snacks,292,Quick and reliable!,5,No,No,12/4/2019
ORD001434,CUST6517,Swiggy Instamart,28,Beverages,463,"Very late delivery, not happy.",2,No,Yes,12/5/2019
ORD001435,CUST3147,Blinkit,38,Grocery,816,"Very late delivery, not happy.",2,No,Yes,12/6/2019
ORD001436,CUST7172,Blinkit,20,Personal Care,1494,Items missing from order.,2,No,Yes,12/7/2019
ORD001437,CUST3527,Swiggy Instamart,19,Personal Care,1675,"Fast delivery, great service!",5,No,No,12/8/2019
ORD001438,CUST3658,Blinkit,24,Snacks,486,Delivery person was rude.,2,No,Yes,12/9/2019
ORD001439,CUST3962,Swiggy Instamart,29,Dairy,710,Delivery person was rude.,2,No,Yes,12/10/2019
ORD001440,CUST3712,Swiggy Instamart,19,Dairy,587,"Easy to order, loved it!",5,No,No,12/11/2019
ORD001441,CUST8170,Swiggy Instamart,31,Personal Care,1635,Quick and reliable!,5,No,No,12/12/2019
ORD001442,CUST1715,Swiggy Instamart,45,Grocery,340,"Very late delivery, not happy.",2,Yes,Yes,12/13/2019
ORD001443,CUST7731,Swiggy Instamart,29,Dairy,323,Delivery person was rude.,2,No,Yes,12/14/2019
ORD001444,CUST6968,JioMart,25,Personal Care,1051,"Fast delivery, great service!",5,No,No,12/15/2019
ORD001445,CUST4891,Blinkit,41,Dairy,591,Very satisfied with the service.,5,Yes,No,12/16/2019
ORD001446,CUST8277,JioMart,18,Snacks,469,"Not fresh, disappointed.",2,No,Yes,12/17/2019
ORD001447,CUST5668,Blinkit,35,Snacks,226,Items missing from order.,2,No,Yes,12/18/2019
ORD001448,CUST8355,JioMart,30,Snacks,131,Delivery person was rude.,2,No,Yes,12/19/2019
ORD001449,CUST4833,Swiggy Instamart,46,Dairy,546,"Not fresh, disappointed.",2,Yes,Yes,12/20/2019
ORD001450,CUST9749,Blinkit,42,Dairy,605,Items missing from order.,2,Yes,Yes,12/21/2019
ORD001451,CUST4918,Blinkit,10,Grocery,888,"Very late delivery, not happy.",2,No,Yes,12/22/2019
ORD001452,CUST6070,JioMart,32,Fruits & Vegetables,125,Good quality products.,4,No,No,12/23/2019
ORD001453,CUST8684,JioMart,15,Grocery,1074,"Easy to order, loved it!",5,No,No,12/24/2019
ORD001454,CUST4178,Blinkit,41,Dairy,412,Quick and reliable!,5,Yes,No,12/25/2019
ORD001455,CUST7026,JioMart,20,Fruits & Vegetables,181,"Fast delivery, great service!",5,No,No,12/26/2019
ORD001456,CUST8218,JioMart,37,Grocery,875,Very satisfied with the service.,5,No,No,12/27/2019
ORD001457,CUST8564,JioMart,41,Snacks,133,Very satisfied with the service.,5,Yes,No,12/28/2019
ORD001458,CUST5616,Swiggy Instamart,11,Dairy,138,Items missing from order.,2,No,Yes,12/29/2019
ORD001459,CUST7256,Swiggy Instamart,44,Grocery,1342,Items missing from order.,2,Yes,Yes,12/30/2019
ORD001460,CUST9239,JioMart,41,Snacks,83,"Not fresh, disappointed.",2,Yes,Yes,12/31/2019
ORD001461,CUST9641,JioMart,19,Dairy,609,Quick and reliable!,5,No,No,1/1/2019
ORD001462,CUST7859,Swiggy Instamart,41,Beverages,429,Quick and reliable!,5,Yes,No,1/2/2019
ORD001463,CUST3655,Swiggy Instamart,18,Personal Care,1814,Items missing from order.,2,No,Yes,1/3/2019
ORD001464,CUST4271,Blinkit,39,Snacks,115,"Not fresh, disappointed.",2,No,Yes,1/4/2019
ORD001465,CUST3267,Blinkit,29,Fruits & Vegetables,414,Very satisfied with the service.,5,No,No,1/5/2019
ORD001466,CUST5096,Swiggy Instamart,15,Snacks,418,"Fast delivery, great service!",5,No,No,1/6/2019
ORD001467,CUST1854,JioMart,44,Grocery,1446,"Very late delivery, not happy.",2,Yes,Yes,1/7/2019
ORD001468,CUST8873,JioMart,44,Snacks,178,"Fast delivery, great service!",5,Yes,No,1/8/2019
ORD001469,CUST7081,JioMart,31,Fruits & Vegetables,53,Items missing from order.,2,No,Yes,1/9/2019
ORD001470,CUST2680,JioMart,30,Personal Care,1702,"Not fresh, disappointed.",2,No,Yes,1/10/2019
ORD001471,CUST9452,Blinkit,25,Beverages,676,Delivery person was rude.,2,No,Yes,1/11/2019
ORD001472,CUST3042,Swiggy Instamart,35,Snacks,64,Excellent experience!,5,No,No,1/12/2019
ORD001473,CUST5670,JioMart,34,Fruits & Vegetables,69,"Horrible experience, never ordering again.",1,No,Yes,1/13/2019
ORD001474,CUST2374,Blinkit,45,Snacks,134,Quick and reliable!,5,Yes,No,1/14/2019
ORD001475,CUST3626,JioMart,32,Beverages,785,Quick and reliable!,5,No,No,1/15/2019
ORD001476,CUST5469,Swiggy Instamart,43,Fruits & Vegetables,513,Quick and reliable!,5,Yes,No,1/16/2019
ORD001477,CUST8361,Blinkit,11,Fruits & Vegetables,553,"Horrible experience, never ordering again.",1,No,Yes,1/17/2019
ORD001478,CUST9410,Swiggy Instamart,38,Personal Care,715,Packaging could be better.,3,No,No,1/18/2019
ORD001479,CUST3414,Swiggy Instamart,31,Personal Care,1527,"Very late delivery, not happy.",2,No,Yes,1/19/2019
ORD001480,CUST8167,Blinkit,33,Dairy,652,Wrong item delivered.,1,No,Yes,1/20/2019
ORD001481,CUST2502,Blinkit,48,Dairy,502,"Fast delivery, great service!",5,Yes,No,1/21/2019
ORD001482,CUST4637,Blinkit,41,Personal Care,797,Wrong item delivered.,1,Yes,Yes,1/22/2019
ORD001483,CUST8391,Blinkit,26,Personal Care,578,"Very late delivery, not happy.",2,No,Yes,1/23/2019
ORD001484,CUST6727,Blinkit,21,Personal Care,1711,"Fast delivery, great service!",5,No,No,1/24/2019
ORD001485,CUST1436,Blinkit,10,Personal Care,318,Wrong item delivered.,1,No,Yes,1/25/2019
ORD001486,CUST7797,Blinkit,34,Fruits & Vegetables,374,"Horrible experience, never ordering again.",1,No,Yes,1/26/2019
ORD001487,CUST1872,JioMart,42,Personal Care,1625,Items missing from order.,2,Yes,Yes,1/27/2019
ORD001488,CUST7495,Swiggy Instamart,42,Dairy,677,"Fast delivery, great service!",5,Yes,No,1/28/2019
ORD001489,CUST9224,Blinkit,25,Grocery,962,"Very late delivery, not happy.",2,No,Yes,1/29/2019
ORD001490,CUST7126,JioMart,42,Grocery,320,"Very late delivery, not happy.",2,Yes,Yes,1/30/2019
ORD001491,CUST4862,JioMart,42,Personal Care,982,"Fast delivery, great service!",5,Yes,No,1/31/2019
ORD001492,CUST7326,JioMart,39,Dairy,721,"Easy to order, loved it!",5,No,No,2/1/2019
ORD001493,CUST2337,Swiggy Instamart,30,Personal Care,1279,"Not fresh, disappointed.",2,No,Yes,2/2/2019
ORD001494,CUST7142,Blinkit,29,Grocery,444,"Very late delivery, not happy.",2,No,Yes,2/3/2019
ORD001495,CUST4678,JioMart,35,Personal Care,269,"Very late delivery, not happy.",2,No,Yes,2/4/2019
ORD001496,CUST1461,Swiggy Instamart,36,Dairy,784,Good quality products.,4,No,No,2/5/2019
ORD001497,CUST6221,Swiggy Instamart,25,Dairy,496,"Horrible experience, never ordering again.",1,No,Yes,2/6/2019
ORD001498,CUST2623,Swiggy Instamart,26,Dairy,175,Items missing from order.,2,No,Yes,2/7/2019
ORD001499,CUST6493,JioMart,32,Dairy,205,"Easy to order, loved it!",5,No,No,2/8/2019
ORD001500,CUST3392,Blinkit,23,Fruits & Vegetables,232,Packaging could be better.,3,No,No,2/9/2019
ORD001501,CUST3254,JioMart,24,Dairy,597,Excellent experience!,5,No,No,2/10/2019
ORD001502,CUST1627,JioMart,12,Fruits & Vegetables,173,Delivery person was rude.,2,No,Yes,2/11/2019
ORD001503,CUST5700,Blinkit,19,Beverages,187,Wrong item delivered.,1,No,Yes,2/12/2019
ORD001504,CUST8740,Blinkit,37,Snacks,428,Quick and reliable!,5,No,No,2/13/2019
ORD001505,CUST3273,Blinkit,40,Dairy,324,"Not fresh, disappointed.",2,No,Yes,2/14/2019
ORD001506,CUST8685,Swiggy Instamart,29,Personal Care,1967,Delivery person was rude.,2,No,Yes,2/15/2019
ORD001507,CUST8349,Blinkit,37,Snacks,347,Good quality products.,4,No,No,2/16/2019
ORD001508,CUST1086,JioMart,7,Beverages,408,Items missing from order.,2,No,Yes,2/17/2019
ORD001509,CUST2298,Blinkit,34,Personal Care,1113,"Easy to order, loved it!",5,No,No,2/18/2019
ORD001510,CUST1311,JioMart,15,Beverages,487,Wrong item delivered.,1,No,Yes,2/19/2019
ORD001511,CUST5193,Swiggy Instamart,21,Snacks,387,"Not fresh, disappointed.",2,No,Yes,2/20/2019
